GEN,RFWL,WC,WET,H20,DRIED,LEAN,FAT,YEAR,MONTH,LOCATION,BMI,GENDER,WC_Grouped
569,56,1.5,0.691,0.3182,0.3728,0.1788,0.194,1993,12,1,0.154902105,2,1
570,50.5,1.5,0.567,0.285,0.282,0.1423,0.1397,1993,12,1,0.156298794,2,1
571,53,3,0.557,0.2775,0.2795,0.1508,0.1287,1993,12,1,0.139398718,2,0
572,52,1,0.624,0.2864,0.3376,0.1834,0.1542,1993,12,1,0.162230769,2,1
573,51,2.5,0.451,0.2163,0.2347,0.1456,0.0891,1993,12,1,0.121896578,2,1
574,54,2,0.601,0.2722,0.3288,0.1738,0.155,1993,12,1,0.144891289,2,1
575,54,2,0.529,0.2929,0.2361,0.182,0.0541,1993,12,1,0.127533265,2,1
576,52.5,3.5,0.583,0.2621,0.3209,0.1864,0.1345,1993,12,1,0.14869805,2,0
577,53.5,1.5,0.775,0.37,0.405,0.1904,0.2146,1993,12,1,0.190348502,2,1
578,49,2.5,0.376,0.1905,0.1855,0.1239,0.0616,1993,12,1,0.110090796,2,1
579,51.5,2,0.66,0.3046,0.3554,0.2099,0.1455,1993,12,1,0.17493826,2,1
580,53,4,0.57,0.2929,0.2771,0.1835,0.0936,1993,12,1,0.142652189,2,0
581,52,2.5,0.598,0.3065,0.2915,0.1825,0.109,1993,12,1,0.155471154,2,1
582,52.5,4,0.56,0.2855,0.2745,0.1566,0.1179,1993,12,1,0.142831746,2,0
583,51.5,2.5,0.624,0.3449,0.2791,0.176,0.1031,1993,12,1,0.165396173,2,1
584,53.5,1,0.612,0.2835,0.3285,0.1691,0.1594,1993,12,1,0.150313914,2,1
586,53,2.5,0.587,0.2715,0.3155,0.2064,0.1091,1993,12,1,0.146906728,2,1
587,51.5,4,0.532,0.2819,0.2501,0.1591,0.091,1993,12,1,0.14101084,2,0
588,52,2,0.497,0.2385,0.2585,0.1667,0.0918,1993,12,1,0.129212648,2,1
589,52,1,0.648,0.2894,0.3586,0.1901,0.1685,1993,12,1,0.168470414,2,1
590,53,1.5,0.608,0.3171,0.2909,0.1843,0.1066,1993,12,1,0.152162335,2,1
591,54,2.5,0.573,0.234,0.339,0.1995,0.1395,1993,12,1,0.138140947,2,1
592,52,3,0.608,0.3114,0.2966,0.1542,0.1424,1993,12,1,0.158071006,2,0
593,51,2.5,0.531,0.2719,0.2591,0.1626,0.0965,1993,12,1,0.143519031,2,1
594,52.5,4,0.557,0.304,0.253,0.167,0.086,1993,12,1,0.142066576,2,0
595,53,1.5,0.587,0.2625,0.3245,0.1845,0.14,1993,12,1,0.146906728,2,1
596,55,3.5,0.655,0.3503,0.3047,0.2014,0.1033,1993,12,1,0.152219835,2,0
597,53.5,2,0.552,0.2872,0.2648,0.1569,0.1079,1993,12,1,0.135577256,2,1
598,53,1.5,0.55,0.3258,0.2242,0.174,0.0502,1993,12,1,0.137646849,2,1
599,48.5,3.5,0.392,0.1937,0.1983,0.1413,0.057,1993,12,1,0.117154214,2,0
600,54.5,1.5,0.719,0.3583,0.3607,0.2438,0.1169,1993,12,1,0.170173218,2,1
601,53,2,0.58,0.2898,0.2902,0.2036,0.0866,1993,12,1,0.145154859,2,1
